ligand,predicted_energy,smiles
file_ligand_095.pdbqt,-10.80609893798828,Cc1cc(CN2CCN(C3=C4NC(c5ccc(N6CCNC(C)C6)cc5)N=C4N=CC3Cl)CC2)no1
file_ligand_134.pdbqt,-11.258041381835938,CN(C)c1ccc(C2N=C3N=CC(Br)C(N4CCN(CC(=O)Nc5ccccc5)CC4)=C3N2)cc1
file_ligand_185.pdbqt,-10.99171543121338,CC(CC(N)=O)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_182.pdbqt,-10.787887573242188,FC(F)(F)c1cccc(Nc2ccnc(Nc3ccccc3)n2)c1
file_ligand_158.pdbqt,-11.293123245239258,Cn1cc(C2N=C3N=CC(Br)C(N4CCN(Cc5cccnc5)CC4)=C3N2)cn1
file_ligand_082.pdbqt,-10.24741268157959,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2ccccc2F)=NC3)cc1
file_ligand_177.pdbqt,-11.267906188964844,NC(=O)Cc1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_080.pdbqt,-10.364629745483398,COc1cccc(F)c1C1=NCc2cnc(Nc3ccc(C(=O)O)cc3)nc2-c2ccc(Cl)cc21
file_ligand_061.pdbqt,-10.721781730651855,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCOCC4)cc3)Nn3cccc32)n[nH]1
file_ligand_139.pdbqt,-11.32268238067627,CN(C)c1ccc(C2N=C3N=CC(Br)C(N4CCN(C(=O)Nc5ccccc5)CC4)=C3N2)cc1
file_ligand_083.pdbqt,-10.569345474243164,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1
file_ligand_123.pdbqt,-11.562332153320312,CN(C)Cc1ccc(C2N=C3N=CC(Br)C(N4CCN(CC(=O)Nc5nccs5)CC4)=C3N2)cc1
file_ligand_099.pdbqt,-10.046607971191406,Brc1cnc2nc(-c3ccc(CN4CCOCC4)cc3)[nH]c2c1N1CCN(Cc2cscn2)CC1
file_ligand_017.pdbqt,-10.025691032409668,Cc1ccc(C(=O)Nc2ccc(NC3=CCNC4NC(=O)c5ccccc5C34)cc2)cc1
file_ligand_180.pdbqt,-11.118707656860352,NC(=O)CCc1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_068.pdbqt,-10.687877655029297,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)Nc5ccc(F)cc5)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_153.pdbqt,-10.95015811920166,CN(C)c1ccc(C2N=C3N=CC(Br)C(N4CCN(Cc5ccncc5)CC4)=C3N2)cc1
file_ligand_104.pdbqt,-10.728609085083008,CCN1CCN(c2ccc(C3N=C4N=CC(Cl)C(N5CCN(Cc6cc(C)on6)CC5)=C4N3)cc2)CC1
file_ligand_156.pdbqt,-10.005521774291992,Cc1cc(CN2CCN(c3c(Br)cnc4nc(-c5csnn5)[nH]c34)CC2)no1
file_ligand_171.pdbqt,-11.660584449768066,O=C(O)c1ccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)cc1
file_ligand_074.pdbqt,-10.664352416992188,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)N5CCCC5)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_178.pdbqt,-11.660882949829102,O=C(O)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_059.pdbqt,-10.66811180114746,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCCC4CO)cc3)Nn3cccc32)n[nH]1
file_ligand_097.pdbqt,-10.278907775878906,O=C(CN1CCN(c2c(Cl)cnc3nc(-c4ccc(CN5CCOCC5)cc4)[nH]c23)CC1)Nc1nccs1
file_ligand_081.pdbqt,-10.463204383850098,COc1cc(Nc2ncc3c(n2)-c2cccc(Cl)c2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O
file_ligand_030.pdbqt,-10.945216178894045,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1ccc(C(F)(F)F)cc1F
file_ligand_060.pdbqt,-10.4451904296875,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN(C)C)cc3)Nn3cccc32)n[nH]1
file_ligand_072.pdbqt,-10.599682807922363,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)N5CCCCC5)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_019.pdbqt,-10.640488624572754,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1ccccc1C(F)(F)F
file_ligand_183.pdbqt,-10.882722854614258,NC(=O)CCCCc1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_063.pdbqt,-10.516801834106444,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CNC4CC4)cc3)Nn3cccc32)n[nH]1
file_ligand_181.pdbqt,-11.161894798278809,NC(=O)C1CC1c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_141.pdbqt,-11.060150146484377,Cc1nn(C)c(C)c1C1N=C2N=CC(Br)C(N3CCN(Cc4cccnc4)CC3)=C2N1
file_ligand_073.pdbqt,-10.664352416992188,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)N5CCCC5)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_186.pdbqt,-11.07066535949707,O=C(Nc1ccc(Cl)cc1)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_058.pdbqt,-10.711467742919922,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CC5CC5C4CO)cc3)Nn3cccc32)n[nH]1
file_ligand_071.pdbqt,-10.891298294067385,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)N5CCOCC5)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_101.pdbqt,-11.538963317871094,COc1ccc(C2N=C3N=CC(Br)C(N4CCN(Cc5cscn5)CC4)=C3N2)cc1
file_ligand_028.pdbqt,-10.944072723388672,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1cccc(C(F)(F)F)c1F
file_ligand_090.pdbqt,-11.358661651611328,CN(C)c1ccc(C2N=C3N=CC(Cl)C(N4CCN(CC(=O)Nc5cccc(Cl)c5)CC4)=C3N2)cc1
file_ligand_064.pdbqt,-11.548847198486328,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)NCC(F)F)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_015.pdbqt,-10.641216278076172,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1ccc(C(F)(F)F)cc1
file_ligand_133.pdbqt,-10.301179885864258,O=C(CN1CCN(c2c(Br)cnc3nc(-c4ccccc4)[nH]c23)CC1)Nc1nccs1
file_ligand_076.pdbqt,-10.630355834960938,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(NC(=O)C(C)C)C4)cc3)Nn3cccc32)n[nH]1
