ligand,predicted_energy
file_ligand_054.pdbqt,-9.822026252746582
file_ligand_038.pdbqt,-9.858980178833008
file_ligand_140.pdbqt,-9.874127388000488
file_ligand_037.pdbqt,-9.907626152038574
file_ligand_024.pdbqt,-9.134454727172852
file_ligand_095.pdbqt,-10.806098937988281
file_ligand_154.pdbqt,-9.90440559387207
file_ligand_134.pdbqt,-11.258041381835938
file_ligand_185.pdbqt,-10.991715431213379
file_ligand_182.pdbqt,-10.787887573242188
file_ligand_158.pdbqt,-11.293123245239258
file_ligand_001.pdbqt,-8.489136695861816
file_ligand_082.pdbqt,-10.24741268157959
file_ligand_096.pdbqt,-9.520159721374512
file_ligand_009.pdbqt,-9.56637954711914
file_ligand_177.pdbqt,-11.267906188964844
file_ligand_080.pdbqt,-10.364629745483398
file_ligand_116.pdbqt,-9.77954387664795
file_ligand_106.pdbqt,-9.534333229064941
file_ligand_061.pdbqt,-10.721781730651855
file_ligand_170.pdbqt,-9.88386344909668
file_ligand_139.pdbqt,-11.32268238067627
file_ligand_130.pdbqt,-9.758813858032227
file_ligand_083.pdbqt,-10.569345474243164
file_ligand_026.pdbqt,-8.717215538024902
file_ligand_123.pdbqt,-11.562332153320312
file_ligand_099.pdbqt,-10.046607971191406
file_ligand_108.pdbqt,-9.933911323547363
file_ligand_017.pdbqt,-10.025691032409668
file_ligand_050.pdbqt,-9.718429565429688
file_ligand_180.pdbqt,-11.118707656860352
file_ligand_068.pdbqt,-10.687877655029297
file_ligand_006.pdbqt,-9.349813461303711
file_ligand_153.pdbqt,-10.95015811920166
file_ligand_104.pdbqt,-10.728609085083008
file_ligand_167.pdbqt,-9.789462089538574
file_ligand_156.pdbqt,-10.005521774291992
file_ligand_171.pdbqt,-11.660584449768066
file_ligand_074.pdbqt,-10.664352416992188
file_ligand_178.pdbqt,-11.660882949829102
file_ligand_059.pdbqt,-10.668111801147461
file_ligand_097.pdbqt,-10.278907775878906
file_ligand_081.pdbqt,-10.463204383850098
file_ligand_100.pdbqt,-9.768929481506348
file_ligand_030.pdbqt,-10.945216178894043
file_ligand_060.pdbqt,-10.4451904296875
file_ligand_125.pdbqt,-9.489706039428711
file_ligand_072.pdbqt,-10.599682807922363
file_ligand_016.pdbqt,-9.38502311706543
file_ligand_027.pdbqt,-8.531824111938477
file_ligand_019.pdbqt,-10.640488624572754
file_ligand_018.pdbqt,-9.385560035705566
file_ligand_040.pdbqt,-9.884653091430664
file_ligand_052.pdbqt,-9.604110717773438
file_ligand_119.pdbqt,-9.490382194519043
file_ligand_183.pdbqt,-10.882722854614258
file_ligand_025.pdbqt,-8.730110168457031
file_ligand_063.pdbqt,-10.516801834106445
file_ligand_012.pdbqt,-9.710410118103027
file_ligand_131.pdbqt,-9.721915245056152
file_ligand_122.pdbqt,-9.69677448272705
file_ligand_181.pdbqt,-11.161894798278809
file_ligand_155.pdbqt,-9.486676216125488
file_ligand_013.pdbqt,-9.710410118103027
file_ligand_141.pdbqt,-11.060150146484375
file_ligand_021.pdbqt,-9.268682479858398
file_ligand_142.pdbqt,-9.189595222473145
file_ligand_107.pdbqt,-9.759060859680176
file_ligand_073.pdbqt,-10.664352416992188
file_ligand_007.pdbqt,-9.062053680419922
file_ligand_144.pdbqt,-9.77611255645752
file_ligand_035.pdbqt,-9.741908073425293
file_ligand_091.pdbqt,-9.84350872039795
file_ligand_186.pdbqt,-11.07066535949707
file_ligand_128.pdbqt,-9.905494689941406
file_ligand_058.pdbqt,-10.711467742919922
file_ligand_150.pdbqt,-9.82313346862793
file_ligand_071.pdbqt,-10.891298294067383
file_ligand_101.pdbqt,-11.538963317871094
file_ligand_002.pdbqt,-8.730110168457031
file_ligand_028.pdbqt,-10.944072723388672
file_ligand_090.pdbqt,-11.358661651611328
file_ligand_064.pdbqt,-11.548847198486328
file_ligand_015.pdbqt,-10.641216278076172
file_ligand_003.pdbqt,-8.717215538024902
file_ligand_133.pdbqt,-10.301179885864258
file_ligand_076.pdbqt,-10.630355834960938
file_ligand_041.pdbqt,-9.75809097290039
file_ligand_079.pdbqt,-10.4656982421875
file_ligand_087.pdbqt,-9.573657989501953
file_ligand_172.pdbqt,-11.336557388305664
file_ligand_065.pdbqt,-10.569428443908691
file_ligand_056.pdbqt,-9.470902442932129
file_ligand_138.pdbqt,-11.191719055175781
file_ligand_121.pdbqt,-9.469937324523926
file_ligand_126.pdbqt,-9.919611930847168
file_ligand_062.pdbqt,-10.372292518615723
file_ligand_004.pdbqt,-8.531824111938477
file_ligand_161.pdbqt,-10.053092956542969
file_ligand_187.pdbqt,-10.678261756896973
file_ligand_036.pdbqt,-10.0911865234375
file_ligand_120.pdbqt,-11.195549011230469
file_ligand_103.pdbqt,-9.534364700317383
file_ligand_020.pdbqt,-9.383833885192871
file_ligand_046.pdbqt,-10.237998962402344
file_ligand_092.pdbqt,-9.630996704101562
file_ligand_005.pdbqt,-8.76451301574707
file_ligand_159.pdbqt,-11.572142601013184
file_ligand_135.pdbqt,-9.511992454528809
file_ligand_039.pdbqt,-9.823023796081543
file_ligand_033.pdbqt,-9.731201171875
file_ligand_077.pdbqt,-10.750274658203125
file_ligand_179.pdbqt,-10.48090934753418
file_ligand_160.pdbqt,-10.898735046386719
file_ligand_047.pdbqt,-9.822543144226074
file_ligand_166.pdbqt,-10.1226224899292
file_ligand_049.pdbqt,-9.428714752197266
file_ligand_048.pdbqt,-9.772404670715332
file_ligand_105.pdbqt,-10.558794021606445
file_ligand_112.pdbqt,-10.060160636901855
file_ligand_093.pdbqt,-9.418524742126465
file_ligand_044.pdbqt,-10.308585166931152
file_ligand_075.pdbqt,-10.505758285522461
file_ligand_042.pdbqt,-10.33444595336914
file_ligand_031.pdbqt,-9.91694450378418
file_ligand_088.pdbqt,-9.470495223999023
file_ligand_069.pdbqt,-10.823391914367676
file_ligand_184.pdbqt,-10.806750297546387
file_ligand_008.pdbqt,-10.945562362670898
file_ligand_109.pdbqt,-10.042012214660645
file_ligand_034.pdbqt,-10.3575439453125
file_ligand_176.pdbqt,-11.33683967590332
file_ligand_163.pdbqt,-9.925167083740234
file_ligand_136.pdbqt,-11.297361373901367
file_ligand_029.pdbqt,-10.947212219238281
file_ligand_164.pdbqt,-9.620829582214355
file_ligand_188.pdbqt,-11.14381217956543
file_ligand_084.pdbqt,-9.871736526489258
file_ligand_137.pdbqt,-11.191719055175781
file_ligand_169.pdbqt,-11.14381217956543
file_ligand_043.pdbqt,-10.39982795715332
file_ligand_162.pdbqt,-10.115225791931152
file_ligand_114.pdbqt,-11.638284683227539
file_ligand_051.pdbqt,-9.75582504272461
file_ligand_152.pdbqt,-9.45145034790039
file_ligand_117.pdbqt,-9.859874725341797
file_ligand_149.pdbqt,-9.558501243591309
file_ligand_168.pdbqt,-9.464683532714844
file_ligand_175.pdbqt,-11.659185409545898
file_ligand_174.pdbqt,-12.711675643920898
file_ligand_010.pdbqt,-9.710410118103027
file_ligand_053.pdbqt,-9.470582962036133
